title,url,page_title,category,ingredients,instructions,kalori,protein,karbohidrat,lemak,serat,gula,sodium,kalium,kolesterol,lemak_jenuh,description,prepTime,cookTime,recipeYield
Kue Pisang Kukus,https://www.fatsecret.co.id/resep/65145041-kue-pisang-kukus/Default.aspx,Kue Pisang Kukus,Sidebar - Makan Pagi,"170 gram putih telur | 270 gram pisang | 10 gram chia seed | 5 gram kacang almond | 1 sdt, bongkahan gula merah | 75 g salted butter | 120 g oatmeal rolled oats | 75 g palm sugar | 60 g dark chocolate chips | 27 g susu","Kocok putih telur dengan 2 gula. | Masukkan pisang lecek, oat, dan biji chia. | Tambahkan mentega cair dan susu. Campur dengan baik. | Tempatkan ke dalam cetakan dan hiasi dengan keping cokelat dan almond cincang. Kukus selama 25 menit.","181,0 kkal","4,32 g","21,89 g","9,44 g","3,7 g","10,98 g","71,0 mg","114,0 mg","14,0 mg","3,894 g","Cemilan yang simple, sehat dan mudah dibuat.",PT15M,PT25M,12 porsi
Brownies Oatmeal,https://www.fatsecret.co.id/resep/63747503-brownies-oatmeal/Default.aspx,Brownies Oatmeal,Sidebar - Makan Pagi,1 sedang telur | 2 kecil pisang | 1/2 sdt baking soda | 4 sdt gula pasir | 1 sdm minyak goreng | 44 g instant oatmeal | 9 g cocoa powder | 58 ml susu uht kids cokelat | 4 g baking powder,"Giling oatmeal dalam blender. Menyisihkan. | Tumbuk pisang. | Campurkan semua bahan dengan baik. | Masukkan adunan ke dalam acuan dan kukus selama 15 minit. | Biarkan ia sejuk, buang acuan dan potong.","165,0 kkal","4,4 g","26,59 g","5,4 g","3,4 g","12,2 g","178,0 mg","216,0 mg","47,0 mg","1,83 g","Makanan penutup yang manis, kaya, dan sehat.",PT20M,PT15M,4 porsi
Kue Pisang Kukus,https://www.fatsecret.co.id/resep/62391105-kue-pisang-kukus/Default.aspx,Kue Pisang Kukus,Sidebar - Makan Pagi,1 besar telur | 1 sdt kayu manis | 2 sedang pisang | 1 sdm margarin | 70 g oat | 50 ml skimmed milk,Tumbuk pisang. | Tambahkan sisa bahan dan aduk rata. | Tuang ke dalam cetakan dan hiasi sesuai keinginan. Kukus selama kurang lebih 20 menit.,"353,0 kkal","9,28 g","53,26 g","12,91 g","6,6 g","15,84 g","120,0 mg","492,0 mg","106,0 mg","1,414 g","Manis alami, enak dan tinggi serat.",PT15M,PT20M,2 porsi
Oat Panekuk,https://www.fatsecret.co.id/resep/62268245-panekuk-gandum/Default.aspx,Oat Panekuk,Sidebar - Makan Pagi,1 besar telur | 1/4 cangkir instant oatmeal | 80 ml chocolate drink,Haluskan oatmeal hinggah tekstur menjadi tepung. | Tambahkan sebutir telur dan aduk rata. | Tambahkan chocolatos dan aduk. | Masak di atas pan anti lengket hingga matang kedua sisinya.,"54,0 kkal","2,44 g","7,1 g","1,87 g","0,6 g","1,23 g","18,0 mg","33,0 mg","42,0 mg","0,588 g","Resep yang mudah, enak dan rendah kalori.",PT10M,PT15M,5 porsi
Jus Bokcoy,https://www.fatsecret.co.id/resep/62039430-jus-bokcoy/Default.aspx,Jus Bokcoy,Sidebar - Makan Pagi,"1/2 fresh lime juice | 3 sdt sugar | 3 slices pineapple (extra sweet) | 3 daun chinese cabbage (bok-choy, pak-choi) | 700 ml water","Cuci buah dan sayur. | Rendam bokcoy dalam air panas, sebentar saja. | Blender semua bahan.","94,0 kkal","1,02 g","24,57 g","0,18 g","2,0 g","19,71 g","22,0 mg","200,0 mg","0,0 mg","0,006 g",Jus hijau mudah.,PT5M,PT0M,2 porsi
Jus,https://www.fatsecret.co.id/resep/62011247-jus/Default.aspx,Jus,Sidebar - Makan Pagi,1/4 iris lime | 6 sedang strawberries | 1 medium carrots | 1 kecil utuh tomatoes | 1.2 l air | 1 sachet sweetener classic,"Cuci dan potong buah dan sayur. | Masukkan ke blender, campurkan dengan air dan pemanis, tambahkan air jeruk nipis. | Blender hingga halus.","35,0 kkal","0,93 g","8,58 g","0,28 g","2,2 g","4,28 g","36,0 mg","262,0 mg","0,0 mg","0,038 g",Jus ini merupakan sumber vitamin yang sangat baik.,PT8M,PT0M,2 porsi
Chia Seed Yakult,https://www.fatsecret.co.id/resep/61430872-chia-seed-yakult/Default.aspx,Chia Seed Yakult,Sidebar - Makan Pagi,10 gram chia seed | 2 botol yakult | 10 gram buah naga,Campurkan chia seed dengan Yakult. | Diamkan selama 5-10 menit di lemari es. | Tambahkan potongan buah naga.,"154,0 kkal","3,64 g","27,62 g","3,12 g","4,0 g","20,96 g","22,0 mg","35,0 mg","0,0 mg","0,323 g",Mangkuk buah chia yang dibuat ekstra sehat dengan yakult.,PT15M,PT0M,1 porsi
Oat Cookies,https://www.fatsecret.co.id/resep/61202098-oat-cookies/Default.aspx,Oat Cookies,Sidebar - Makan Pagi,4 kurma | 20 gram keju cheddar | 1 sdt ekstrak vanila | 2 kecil pisang | 62 g oatmeal,Kupas buah pisang masukan dalam mangkok hancurkan hingga halus. | Potong kurma dan parut keju masukan dalam mangkuk hancuran pisang tadi tambahkan vanilla paste. Tambahkan oatmeal. | Campur adonan hingga merata cetak adonan pada loyang lalu panggang adoan di oven suhu 180°C selama kurleb 15 menitan.,"24,0 kkal","0,54 g","4,66 g","0,51 g","0,5 g","2,73 g","7,0 mg","57,0 mg","1,0 mg","0,262 g",Kue oatmeal manis dengan sedikit kebaikan keju.,PT15M,PT15M,17 porsi
Smoothie Buah Naga,https://www.fatsecret.co.id/resep/60323013-smoothie-buah-naga/Default.aspx,Smoothie Buah Naga,Sidebar - Makan Pagi,20 gram nanas | 4 gram kacang almond panggang kering (tanpa tambahan garam) | 30 gram buah naga | 30 g pisang single | 15 g oatmeal | 50 ml almond breeze almond milk original | 8 g chia seed,"Bekukan semua buah buahan. | Blender dengan susu dan oatmeal. | Taburi dengan topping yang disukai seperti chia, almond, dll. dan sajikan.","138,0 kkal","3,43 g","20,28 g","5,5 g","5,1 g","6,94 g","33,0 mg","153,0 mg","0,0 mg","0,179 g",Sarapan yang menyegarkan dan mengisi.,PT15M,PT0M,1 porsi
Ampyang,https://www.fatsecret.co.id/resep/55408615-ampyang/Default.aspx,Ampyang,Sidebar - Makanan Ringan,300 gram kacang sangrai kering (tanpa garam) | 166 gram gula merah | 63 gram gula pasir,"Masukkan gula merah, gula pasir dan air ke dalam panci. Aduk hingga mengental dan gula larut. | Buang kulit kacang panggang dan masukkan ke dalam wajan. | Matikan api. Aduk hingga adonan ampyang benar-benar mengental dan matang. | Ambil satu sendok makan campuran ampyang. Tuang di atas kertas lalu bentuk menjadi bentuk datar atau bulat. Lakukan hingga adonan habis. | Biarkan dingin dan mengeras lalu simpan di toples kedap udara.","132,0 kkal","3,56 g","14,47 g","7,47 g","1,2 g","11,76 g","4,0 mg","128,0 mg","0,0 mg","1,037 g",Camilan yang sangat enak dan mudah dibuat yang akan anda nikmati.,PT20M,PT30M,20 porsi
Poires Helena,https://www.fatsecret.co.id/resep/50066914-poires-helena/Default.aspx,Poires Helena,Sidebar - Makanan Penutup,11 gram kayu manis | 3 sedang buah pir | 50 gram kacang almond | 2 1/2 gelas air | 90 gram gula pasir | 15 g saus manis cokelat pisang | 100 ml ice cream cokelat chip,"Masukkan gula pasir dan kayu manis, tambahkan 1/2 gelas air. | Aduk, kemudian tambahkan 2 gelas air dan rebus 3 buah pir. | Tiriskan, plating buah pir kemudian tambahkan 2 scoops ice cream, tambahkan saus coklat dan beri taburan kacang almond.","388,0 kkal","5,32 g","68,87 g","12,76 g","9,1 g","50,12 g","7,0 mg","350,0 mg","0,0 mg","2,681 g",Dessert Prancis.,PT10M,PT20M,3 porsi
Bola Ubi Jalar,https://www.fatsecret.co.id/resep/48161635-bola-ubi-jalar/Default.aspx,Bola Ubi Jalar,Sidebar - Makanan Ringan,58 gram nanas | 377 gram ubi jalar (manis) | 18 gram biji wijen kering utuh | 2 sdt fiber creme,"Kukus ubi hingga matang. | Hancurkan ubi, tambahkan fiber creme. | Bentuk ubi dan isi dengan nanas. | Lapisi dengan biji wijen.","15,0 kkal","0,29 g","2,86 g","0,35 g","0,5 g","0,66 g","7,0 mg","44,0 mg","0,0 mg","0,104 g",Bola-bola ubi isi nanas.,PT15M,PT30M,32 porsi
Lumpia Pisang Aroma,https://www.fatsecret.co.id/resep/47255441-lumpia-pisang-aroma/Default.aspx,Lumpia Pisang Aroma,Sidebar - Makanan Penutup,16 sedang pangsit polos | 15 gram keju cheddar | 4 sedang pisang | 20 gram gula pasir | 1 mangkok saus cokelat,Siapkan bahan dan lelehakan coklat. | Masukkan pisang keju gula pasir ke kulit pangsit lalu gulung. | Goreng. | Tambahkan lelehan coklat dan keju diatas nya.,"329,0 kkal","8,63 g","60,68 g","7,12 g","4,2 g","21,22 g","898,0 mg","553,0 mg","8,0 mg","2,654 g",Lumpia lezat dengan pisang dan keju.,PT5M,PT15M,4 porsi
Onde-onde Panggang,https://www.fatsecret.co.id/resep/47083770-onde-onde-panggang/Default.aspx,Onde-onde Panggang,Sidebar - Makanan Ringan,"1 sdm selai kacang | 5 sdm biji wijen kering utuh | 7,8 g stevia sweetener | 5 ml fiber creme | 40 g tepung beras | 60 g tepung tapioka | 170 gram ubi ungu rebus","Kukus ubi lalu haluskan, setelah halus Ini dengan fiber crime, selai kacang dan gula stevia. Aduk sampai rata. | Campur tepung beras dan tapioka dengan air panas 4sdm, aduk sampai kalis diamkan 10 menit . Seharusnya tepung ketan putih karena gak punya pakai yg ada. | Bagi menjadi 12 bagian tepungnya, masukan isian ubinya bulat"" dan gepengkan. Lalu panggang selama 1 jam di suhu 120°c. | Onde-onde ubi panggang siap disajikan.","62,0 kkal","1,63 g","8,52 g","2,92 g","1,1 g","1,43 g","14,0 mg","72,0 mg","0,0 mg","0,723 g","Pangsit manis tanpa minyak, tepung, atau gula.",PT30M,PT60M,12 porsi
Dragon Fruit Jelly,https://www.fatsecret.co.id/resep/45713749-dragon-fruit-jelly/Default.aspx,Dragon Fruit Jelly,Sidebar - Makanan Ringan,"2 gelas air | 500 g buah naga | 3,75 g jelly powder anggur","Rebus nutrijell rasa apa pun dalam 2 gelas air. Rebus hingga mendidih .. Setelah masak, diamkan 3 menit, lalu tambahkan asam buah dan biarkan dingin. | Belah buah naga menjadi dua, keluarkan isinya lalu potong dadu, usahakan kulit buah naga masih tersisa. | Potong Nutrijell dingin menjadi kubus, lalu sajikan dengan irisan buah naga di atas kulit buah naga. Selamat menikmati.","133,0 kkal","1,95 g","32,45 g","0,95 g","4,8 g","24,52 g","10,0 mg","480,0 mg","0,0 mg","0,13 g",Rawatan diet 3 snek atau pencuci mulut.,PT10M,PT10M,2 porsi
Klapertart,https://www.fatsecret.co.id/resep/43835260-klapertart/Default.aspx,Klapertart,Sidebar - Makanan Ringan,3 besar telur | 1 sdt kayu manis | 1/4 sdt garam | 1/4 sdt ekstrak vanila | 50 gram kismis (tanpa biji) | 200 gram kelapa | 300 gram air kelapa | 100 gram gula pasir | 2 sdm mentega | 300 ml susu uht full cream | 60 g tepung pati jagung,"Campur susu, air kelapa, maizena, vanila, garam, kuning telur, gula. Aduk hingga mengental. | Tambah blue band, kelapa muda  kismis. | Letakan di 3/4 wadahnya. | Kocok putih telur dengan gula pasir. | Letakkan diatas adonan pertama. | Panggang dengan suhu 170 derajat selama 20menit.","176,0 kkal","3,29 g","21,01 g","9,37 g","2,0 g","12,6 g","121,0 mg","220,0 mg","55,0 mg","5,735 g",Klapertart tanpa kacang.,PT10M,PT20M,12 porsi
Cookies Oatmeal,https://www.fatsecret.co.id/resep/43680324-cookies-oatmeal/Default.aspx,Cookies Oatmeal,Sidebar - Makanan Ringan,35 gram kenari | 1/2 sdt kayu manis | 135 gram pisang | 135 g oatmeal,"Haluskan pisang. | Masukkan semua bahan, aduk sampai tercampur rata. | Beratnya sekitar 24-25gr per porsi, hasilnya 13 cookie. Bulatkan lalu ratakan. | Panggang dengan suhu 175° selama 12-15 menit.","35,0 kkal","1,93 g","9,82 g","2,65 g","1,6 g","1,34 g","3,0 mg","49,0 mg","0,0 mg","0,437 g",Kue sehat dengan kacang kenari dan pisang.,PT10M,PT15M,13 porsi
Manggo Sticky Oats,https://www.fatsecret.co.id/resep/41868283-manggo-sticky-oats/Default.aspx,Manggo Sticky Oats,Sidebar - Makan Pagi,95 gram mango | 1/2 tsp sugar | 2 sejumput salt | 50 ml water | 100 ml water | 6 sdt fiber creme | 6 g tepung pati jagung | 20 g quick cook oatmeal,"Kupas mangga terlebih dahulu lalu tata kedalam piring. | Selanjutnya masak oats dengan 200ml air, tambahkan garam secukupnya lalu masak hingga air menyusut. Taruh kedalam piring. | Setelah itu buat saus dengan memanaskan 50ml air, tambahkan 6 sdt fibercrem lalu aduk hingga merata. | Tambahkan sedikit garam dan 1/2 sdt gula, aduk kembali lalu tambahkan 1/2 sdm tepung maizena. | Aduk hingha rata dan mengental. | Siramkan diatas mangga dan oats yang telah di tata. | Selesai.","262,0 kkal","2,82 g","48,62 g","8,26 g","9,4 g","16,03 g","316,0 mg","155,0 mg","0,0 mg","6,353 g","Makanan penutup yang berasal dari Thailand, dibuat dengan oatmeal sebagai pengganti nasi ketan.",PT3M,PT5M,1 porsi
Agar-agar Kukus Coklat,https://www.fatsecret.co.id/resep/41734925-agar-agar-kukus-coklat/Default.aspx,Agar-agar Kukus Coklat,Sidebar - Makanan Penutup,1 besar telur (utuh) | 10 gram kacang sangrai kering (dengan garam) | 25 gram gula pasir | 7 g agar agar powder | 35 g white coffee less sugar | 9 g agarasa coklat,"Kocok telur sampai mengembang. | Tuang bubuk agarasa, agar2putih dan bubuk kopi. Aduk rata. | Panaskan kukusan. | Masukkan kedalam cetakan tambahkan kacang secukupnya. | Kukus 10-15menit. Angkat.","113,0 kkal","2,42 g","16,01 g","4,36 g","3,0 g","9,5 g","58,0 mg","33,0 mg","53,0 mg","2,085 g",Agar-agar brownies rendah kalori.,PT5M,PT10M,4 porsi
Puding Chia,https://www.fatsecret.co.id/resep/40142099-puding-chia/Default.aspx,Puding Chia,Sidebar - Makanan Ringan,"8 lengkeng | 50 gram mangga | 4 sedang stroberi | 8 gram chia seed | 3,5 g agar agar powder | 500 ml skimmed milk (250ml) | 2 sdm brown sugar","Membuat puding chia seed: campur chia seed dengan air atau susu lalu aduk rata dan simpan di lemari es. Diamkan 1 jam kemudian biji chia akan mengembang. Just adjust the water/milk according to the chia seeds. | Sambil menunggu puding chia dingin, sesuaikan air/susu sesuai dengan biji chia. Tuang susu, gelatin, dan gula merah ke dalam panci. | Masak dengan api kecil sambil diaduk2 sampai mendidih. | Setelah mendidih tuang ketempat yg telah disediakan. | Tunggu hingga puding set beri puding chia seed dan buah2an yang sudah dipotong2 lalu simpan dikulkas.","76,0 kkal","4,54 g","13,64 g","0,7 g","2,0 g","10,41 g","46,0 mg","208,0 mg","0,0 mg","0,074 g",Paling enak disajikan dingin.,PT5M,PT30M,4 porsi
Protein Bar Kacang Tanah,https://www.fatsecret.co.id/resep/32110471-protein-bar-kacang-tanah/Default.aspx,Protein Bar Kacang Tanah,Sidebar - Makanan Ringan,100 gram roasted unsalted peanuts | 25 gram raisins | 75 gram honey | 50 g instant oatmeal,Giling kacang goreng. | Campurkan semua bahan dan kacau sehingga menjadi doh. | Masukkan ke dalam cetakan/tutup dengan plastik cling dan potong menjadi batangan. | Dinginkan di lemari es.,"72,0 kkal","2,2 g","8,99 g","3,63 g","0,8 g","5,37 g","1,0 mg","61,0 mg","0,0 mg","0,504 g","Camilan yang mudah dibuat, sehat dan enak.",PT15M,PT0M,15 porsi
Wafel,https://www.fatsecret.co.id/resep/65370350-wafel/Default.aspx,Wafel,Sidebar - Makan Pagi,240 ml susu | 1/2 besar telur | 120 gram tepung putih | 1/2 sdt garam | 1/2 sdt ekstrak vanila | 10 gram gula pasir | 60 g mentega tawar | 20 g tepung pati jagung | 2 g bubuk pengembang,"Hangatkan susu tapi tidak mendidih, tambahkan butter, aduk hingga butter meleleh, sisihkan. | Campur bahan kering jadi satu. | Tambahkan telur ke dalam susu lalu masukkan ekstrak vanili. | Campur semuanya sampai halus. Diamkan selama 15 menit. | Masak dalam waffle iron hingga berwarna keemasan. | Sajikan dengan buah atau topping yang Anda inginkan.","231,0 kkal","4,78 g","26,41 g","11,32 g","0,6 g","4,71 g","260,0 mg","106,0 mg","49,0 mg","7,194 g",Sarapan atau camilan enak.,PT10M,PT20M,5 porsi
Roti Pisang dan Keju,https://www.fatsecret.co.id/resep/63935915-roti-pisang-dan-keju/Default.aspx,Roti Pisang dan Keju,Sidebar - Makan Pagi,100 g pisang | 30 g keju quick leleh | 1 lembar roti tawar gandum,Iris pisang dan parut keju. | Susun di atas roti. | Masak dalam penggorengan udara pada suhu 190°C selama 5 menit.,"280,0 kkal","9,0 g","41,5 g","8,75 g","4,0 g","5,0 g","495,0 mg",,"0,0 mg","5,5 g",Camilan mudah disiapkan dengan 3 bahan.,PT10M,PT5M,1 porsi
Pancake Protein Oat,https://www.fatsecret.co.id/resep/63844724-pancake-protein-oat/Default.aspx,Pancake Protein Oat,Sidebar - Makan Pagi,1 besar telur | 1/2 gelas air | 35 g oat gulung biasa | 2 ml pemanis | 1 sendok air dadih coklat | 3 g bubuk pengembang,Giling oat hingga menjadi bubuk lalu campurkan dengan bahan kering lainnya. | Campur semuanya sampai halus. | Masak dalam wajan antilengket sampai keras di kedua sisi.,"87,0 kkal","8,57 g","8,3 g","1,62 g","2,8 g","0,84 g","38,0 mg","17,0 mg","68,0 mg","0,638 g",Sarapan atau makanan ringan tanpa tambahan gula.,PT10M,PT5M,4 porsi
Bihun dengan Sayuran,https://www.fatsecret.co.id/resep/63199942-bihun-dengan-sayuran/Default.aspx,Bihun dengan Sayuran,Sidebar - Makan Siang,"60 gram carrots | 60 gram broccoli (with salt, drained, cooked, boiled) | 55 g bihun rasa ayam bawang","Masak mie sesuai petunjuk kemasan. | Rebus sayuran selama 5 menit. | Campur mie dan sayuran, bumbui sesuai keinginan, dan sajikan.","242,0 kkal","4,35 g","47,79 g","3,85 g","3,7 g","4,55 g","888,0 mg","368,0 mg","0,0 mg","0,054 g","Hidangan sederhana, rendah kalori.",PT10M,PT10M,1 porsi
Smoothie Buah Naga dan Pisang,https://www.fatsecret.co.id/resep/62843816-smoothie-buah-naga-dan-pisang/Default.aspx,Smoothie Buah Naga dan Pisang,Sidebar - Makan Pagi,2 sedang pisang | 130 ml yakult | 1 mangkok buah naga | 20 g cinnamon & raisin | 70 g squeeze yogurt peach,Potong pisang dan buah naga. | Masukkan kesemuanya ke dalam pengisar dan kisar sehingga sebati. | Tempatkan dalam mangkuk dan hiasi dengan granola dan buah sesuai keinginan. Nikmati sarapan Anda.,"280,0 kkal","4,98 g","60,4 g","3,48 g","5,6 g","38,44 g","36,0 mg","642,0 mg","0,0 mg","1,177 g","Sarapan ringan, cepat, dan tinggi serat.",PT15M,PT0M,2 porsi
Muesli Simple,https://www.fatsecret.co.id/resep/62039654-muesli-simple/Default.aspx,Muesli Simple,Sidebar - Makan Pagi,100 ml susu (susu murni) | 2 gram chia seed | 50 g muesli dried fruit,Masukan susu dan muesli kedalam mangkok. | Lalu masukan ke kulkas diamkan semalaman. | Siap disantap pada pagi hari lalu taburi chia seed diatasnya. | Bisa ditambahkan dengan buah buahan (opsional).,"255,0 kkal","6,96 g","42,21 g","7,3 g","5,8 g","13,76 g","58,0 mg","150,0 mg","10,0 mg","3,657 g",Tidak perlu dimasak!,PT10M,PT0M,1 porsi
Healthy Oatmeal Bar,https://www.fatsecret.co.id/resep/60510651-healthy-oatmeal-bar/Default.aspx,Healthy Oatmeal Bar,Sidebar - Makan Pagi,1 sdt ekstrak vanila | 135 g instant oatmeal | 60 g creamy peanut butter | 150 g banana | 20 g choco chips,"Hancurkan pisang dengan garpu sampai lembut. | Tuang bahan lain kecuali chocochips, aduk sampai rata. | Masukkan choco chips, aduk lagi sampai rata. | Tuang ke loyang yg sudah di alas baking paper. Panggang api bawah 180° kurang lebih 15-20 menit.","94,0 kkal","2,84 g","13,67 g","3,51 g","2,0 g","2,82 g","17,0 mg","46,0 mg","0,0 mg","0,718 g","Tidak ada tepung, telur, atau susu.",PT8M,PT20M,12 porsi
Tahu Lumpia,https://www.fatsecret.co.id/resep/57716590-tahu-lumpia/Default.aspx,Tahu Lumpia,Sidebar - Lainnya,1 sdt garam | 32 gram wortel | 42 gram kulit pangsit | 4 gram bawang merah | 147 gram tahu | 4 g kaldu jamur,"Hancurkan tahu, campur dengan wortel parut, bawang merah cincang, tambahkan kaldu jamur dan garam. Aduk hingga tercampur rata. | Bagi adonan tahu dan masukkan ke dalam kulit lumpia dan lipat. | Masak lumpia di kedua sisi dalam teflon panas. | Sajikan dengan saus favorit Anda.","43,0 kkal","2,72 g","5,28 g","1,36 g","0,4 g","0,38 g","444,0 mg","52,0 mg","1,0 mg","0,162 g",Resep lumpia sehat dan bebas daging.,PT5M,PT10M,6 porsi
Pizza,https://www.fatsecret.co.id/resep/56269785-pizza/Default.aspx,Pizza,Sidebar - Lainnya,5 gram ragi | 1 sdm margarin | 1 sdm mayones ringan | 20 gram gula pasir | 100 gram bawang bombay | 1/2 cup spaghetti sauce | 150 g tepung segitiga biru | 3 porsi beef frank | 1 porsi sosis bratwurst,"Campur air hangat dengan ragi dan gula. | Tambahkan tepung terigu dan margarin. Aduk rata dan uleni adonan hingga kalis. Diamkan selama 1 jam hingga mengembang. | Gulung adonan, taruh di atas loyang dan tusuk dengan garpu. | Oleskan saus spageti. Tambahkan irisan sosis, daging sapi, mayones dan bawang bombay. Taburi dengan peterseli dan oregano, jika diinginkan. | Diamkan selama 15 menit selagi oven dipanaskan terlebih dahulu. | Panggang dalam oven selama 30 menit dengan suhu 140°C.","144,0 kkal","6,25 g","21,91 g","3,81 g","0,7 g","4,34 g","144,0 mg","31,0 mg","6,0 mg","1,284 g",Pizza lezat dengan sosis dan daging sapi yang bisa Anda bagikan dengan semua orang.,PT90M,PT30M,8 porsi
Smoothies Berry,https://www.fatsecret.co.id/resep/53041203-smoothies-berry/Default.aspx,Smoothies Berry,Sidebar - Makan Pagi,100 gram mangga | 100 gram stroberi | 1/2 buah naga | 200 ml skimmed milk (200ml) | 20 g granola creations cinnamon & raisin,"Masukkan semua bahan, kecuali granola dan blend. | Tuang ke mangkuk. Tambahkan granola.","136,0 kkal","5,28 g","26,9 g","2,13 g","3,3 g","18,11 g","42,0 mg","322,0 mg","0,0 mg","1,053 g",Sarapan yang enak dan menyegarkan.,PT10M,PT0M,2 porsi
Tahu Gejrot Cirebon,https://www.fatsecret.co.id/resep/48779769-tahu-gejrot-cirebon/Default.aspx,Tahu Gejrot Cirebon,Sidebar - Makan Siang,"6 buah tahu goreng | 3 sdt, bongkahan  gula merah | 2 sdm kecap manis | 20 g sambal pedas uleg","Tahu dipotong2 taruh di atas piring. | Ulek cabe, bawang merah, bawang putih, garam. | Didihkan air masukan gula jawa dan kecap sampai mendidih. | Siram tahu dengan larutan gula dan cabe ulek ke atas piring yg berisi tahu.","200,0 kkal","7,2 g","25,47 g","8,87 g","2,0 g","19,39 g","678,0 mg","32572,0 mg","18,0 mg","1,638 g",Tahu dengan kuah gula manis dan pedas.,PT5M,PT15M,2 porsi
Granola Homemade,https://www.fatsecret.co.id/resep/48079339-granola-homemade/Default.aspx,Granola Homemade,Sidebar - Makan Pagi,75 gram dry roasted unsalted peanuts | 1 1/2 tbsps honey | 2 sdt extra virgin olive oil | 400 g havermout rolled oat | 45 g kurma | 75 g gula aren,"Sangrai rolled oat, kacang tanah hingga kecoklatan. | Masukkan bahan2 untuk saus, olive oil,gula aren, madu, kurma. | Campur dengan rata siap di sajikan dengan susu atau yogurt.","266,0 kkal","6,45 g","42,4 g","8,67 g","11,4 g","12,36 g","3,0 mg","51,0 mg","0,0 mg","1,212 g","Granola buatan sendiri yang diisi dengan oat gulung, gula aren, madu, kurma, dan kacang tanah.",PT15M,PT10M,10 porsi
Chocolate Oatmeal Bars,https://www.fatsecret.co.id/resep/47830077-chocolate-oatmeal-bars/Default.aspx,Chocolate Oatmeal Bars,Sidebar - Makanan Ringan,128 gram coklat manis atau gelap | 1 sdt ekstrak vanila | 125 gram kismis (tanpa biji) | 14 reguler/biasa marshmallow | 5 sdm mentega | 256 g rolled oats,"Dalam panci besar, lelehkan chocolate chip, mentega ringan, dan marshmallow dengan api kecil, aduk hingga lembut. | Hapus dari panas;  agak dingin.  Aduk vanilla.  Aduk oat dan sisa bahan. | Teteskan satu sendok makan bulat ke atas kertas lilin dan bentuk menjadi lingkaran atau batang.  Tutup dan dinginkan 2 sampai 3 jam.  Diamkan pada suhu kamar sekitar 15 menit sebelum disajikan.  Simpan tertutup rapat di lemari es.  Menghasilkan sekitar 3 lusin.","78,0 kkal","1,26 g","12,03 g","3,32 g","1,1 g","5,51 g","24,0 mg","37,0 mg","0,0 mg","1,398 g",Mudah membuat cokelat batangan!,PT10M,PT10M,36 porsi
Bola Energi Oatmeal,https://www.fatsecret.co.id/resep/47786905-bola-energi-oatmeal/Default.aspx,Bola Energi Oatmeal,Sidebar - Makanan Ringan,1 sdm madu | 80 g creamy peanut butter | 1/2 gelas kering rolled oats | 25 g dark chocolate 70%,"Campurkan semua bahan dalam mangkuk kecil dan aduk hingga tercampur rata. | Dinginkan di lemari es selama 30 menit. | Gunakan sendok atau sendok makan untuk membagi campuran menjadi 6 bola secara merata.  Gunakan tangan Anda untuk membentuk bola.

 Nikmati sekarang dan simpan sisanya untuk nanti dengan menyimpannya dalam wadah tertutup di lemari es hingga 1 minggu.","138,0 kkal","4,8 g","12,03 g","8,93 g","1,6 g","4,93 g","62,0 mg","2,0 mg","0,0 mg","3,283 g",Cemilan sehat di bawah 150 kalori.,PT30M,PT0M,6 porsi
Cireng Isi Jamur,https://www.fatsecret.co.id/resep/47702368-cireng-isi-jamur/Default.aspx,Cireng Isi Jamur,Sidebar - Makanan Ringan,1 sdt bubuk cabai | 1 sdt garam | 1 sdt garam | 1 siung bawang putih | 2 siung bawang putih | 1 daun bawang | 100 gram jamur tiram | 100 gram tepung terigu putih (semua keperluan) | 3 sdm saus sambal | 250 g tepung tapioka | 5 g royco kaldu rasa sapi | 22 ml minyak goreng | 1 sendok makan minyak goreng,"Untuk membuat kulit cireng, pertama campur tepung tapioka, sedikit air, bawang putih halus, garam, dan kaldu bubuk, aduk hingga merata. | Rebus dengan api kecil sambil terus diaduk hingga mengental. | Jika sudah mengental, matikan kompor. | Tambahkan daun bawang lalu masukkan tepung terigu sedikit demi sedikit sambil di uleni hingga kalis, lalu sisihkan. | Untuk membuat isian, rebus jamur tiram yang sudah dicuci dan direndam. | Tumis bawang putih hingga harum. | Masukkan jamur yang telah direbus. | Tambahkan cabai bubuk, saus sambal, dan garam,.","63,0 kkal","1,16 g","9,6 g","2,26 g","0,4 g","3,2 g","325,0 mg","43,0 mg","0,0 mg","0,866 g",Cireng dengan isian jamur.,PT10M,PT10M,18 porsi
Pancake Labu Sederhana,https://www.fatsecret.co.id/resep/47252169-pancake-labu-sederhana/Default.aspx,Pancake Labu Sederhana,Sidebar - Makanan Ringan,"3 besar kuning telur | 600 gram labu | 5,2 g stevia sweetener | 30 g tepung tapioka | 30 g segitiga biru","Kukus Labu Kuning dan haluskan dg garpu sampe hancur. | Masukkan Tepung Terigu, Tapioka, Kuning Telur dan Stevia. | Panggang tanpa minyak di atas teflon dg api kecil per 1 sdm munjung, dibalik sampe matang merata.","39,0 kkal","1,47 g","6,33 g","1,3 g","0,2 g","1,08 g","2,0 mg","175,0 mg","52,0 mg","0,457 g",Pancake labu kalori rendah.,PT5M,PT10M,12 porsi
